,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
yes,2767.0,731.0,1038.0,1140.0,1398.0,1784.0,2578.0,472.0,571.0,721.0,776.0,587.0,2155.0,709.0,135.0,311.0,108.0,3405.0
yes_percentage,21.1,24.3,23.8,23.2,23.2,23.8,21.5,32.2,12.7,12.9,12.8,16.2,22.7,21.0,8.3,26.8,22.7,20.1
no_but_you_are_planning_to_define_a_strategy,2532.0,648.0,969.0,1112.0,1304.0,1555.0,2333.0,130.0,654.0,925.0,1017.0,550.0,1961.0,632.0,242.0,176.0,60.0,3092.0
no_but_you_are_planning_to_define_a_strategy_percentage,19.3,21.6,22.2,22.6,21.6,20.7,19.4,8.9,14.5,16.6,16.8,15.2,20.6,18.7,15.0,15.2,12.6,18.3
no_and_you_are_not_planning_to_do_so,6882.0,1425.0,2049.0,2336.0,2903.0,3596.0,6230.0,672.0,3018.0,3605.0,3917.0,2275.0,4660.0,1830.0,1103.0,610.0,277.0,9205.0
no_and_you_are_not_planning_to_do_so_percentage,52.4,47.4,47.0,47.5,48.1,48.0,51.9,45.8,67.1,64.7,64.6,63.0,49.0,54.2,68.1,52.6,58.4,54.4
you_are_already_climate_neutral_do_not_read_out_,497.0,122.0,172.0,192.0,216.0,299.0,440.0,140.0,110.0,154.0,169.0,97.0,394.0,114.0,76.0,15.0,5.0,581.0
you_are_already_climate_neutral_do_not_read_out__percentage,3.8,4.1,4.0,3.9,3.6,4.0,3.7,9.5,2.4,2.8,2.8,2.7,4.1,3.4,4.7,1.3,1.1,3.4
don_t_know_no_answer,447.0,78.0,127.0,141.0,211.0,263.0,414.0,52.0,147.0,165.0,183.0,105.0,339.0,89.0,64.0,48.0,25.0,624.0
don_t_know_no_answer_percentage,3.4,2.6,2.9,2.9,3.5,3.5,3.5,3.5,3.3,3.0,3.0,2.9,3.6,2.6,4.0,4.1,5.2,3.7
total_no_,9413.0,2072.0,3018.0,3448.0,4207.0,5151.0,8563.0,802.0,3671.0,4529.0,4934.0,2825.0,6621.0,2462.0,1346.0,786.0,337.0,12298.0
total_no__percentage,71.7,69.0,69.3,70.1,69.7,68.7,71.4,54.7,81.6,81.3,81.4,78.2,69.6,73.0,83.1,67.8,71.0,72.7
