country_code,scaled_score,zone,baseline_mean_zone,position_vs_baseline
AL,2.116480346195456,Q1-Q2,1.9757758202390405,above
AT,8.612745350574418,Q3-10,7.676458759315273,above
BG,6.750708361238472,Q3-10,7.676458759315273,below
CH,8.218638916078511,Q3-10,7.676458759315273,above
DE,9.999999999999998,Q3-10,7.676458759315273,above
DK,7.883416619442584,Q3-10,7.676458759315273,above
ES,8.996651383236307,Q3-10,7.676458759315273,above
FI,8.390191128741435,Q3-10,7.676458759315273,above
FR,8.246458193807634,Q3-10,7.676458759315273,above
IE,8.592808201535211,Q3-10,7.676458759315273,above
IT,8.599763020967492,Q3-10,7.676458759315273,above
LU,5.063005512338364,Q2-Q3,4.223953321633163,above
LV,7.280201947349441,Q3-10,7.676458759315273,below
ME,2.130853639688836,Q1-Q2,1.9757758202390405,above
MT,4.310494049765596,Q2-Q3,4.223953321633163,above
NL,9.533099788779555,Q3-10,7.676458759315273,above
PL,8.596053783936943,Q3-10,7.676458759315273,above
PT,9.65735922930297,Q3-10,7.676458759315273,above
RS,6.466024419143785,Q3-10,7.676458759315273,below
SE,9.847921281747462,Q3-10,7.676458759315273,above
SK,7.278810983462985,Q3-10,7.676458759315273,below
TR,6.017670393076091,Q2-Q3,4.223953321633163,above
US,6.995518005254752,Q3-10,7.676458759315273,below
